Year,COAL for- Steel Plants,COAL for- Washries,COAL for- Thermal power houses,COAL for- Other public users,COAL for- Total Rev.Coal,Raw mat. for steel plants,Pig iron & finished steel- from steel plants,Pig iron & finished steel- from other points,Pig iron & finished steel- Total,Iron ore- for Export,Iron ore- for steel plants,Iron ore- for other dom.users,Iron ore- Total,Cement,Food grains,Fertilisers,Mineral oil (P.O.L.),Container Services- Domestic Container,Container Services- Exim Container,Container Services- Total,Other Goods,Total Revenue Traffic,Non-Revenue Traffic- Railway Coal,Non-Revenue Traffic- Diesel oil for Rlys.,Non-Revenue Traffic- G.Stores & mat. other than Deptt. w.&Ballast Trains,Non-Revenue Traffic- R.S.&M.carried in Deptt.Wagons & Ballast Trains.,Non-Revenue Traffic- Total Non- Revenue,Grand Total Rev.+ Non- Revenue
1950-51,NA,NA,NA,NA,11268,NA,NA,NA,NA,NA,NA,NA,NA,NA,3998,NA,NA,NA,NA,NA,NA,37565,6552,NA,NA,NA,6552,44117
1955-56,NA,NA,NA,NA,12922,NA,NA,NA,NA,NA,NA,NA,NA,NA,5567,NA,NA,NA,NA,NA,NA,50435,8123,NA,1018,NA,9141,59576
1960-61,2301,NA,NA,18233,20534,1982,3320,NA,NA,NA,NA,NA,NA,2471,9620,NA,2560,NA,NA,NA,NA,72333,13580,NA,1203,564,15347,87680
1961-62,2912,NA,NA,18028,20940,2687,3943,NA,NA,NA,NA,NA,NA,2629,9836,NA,3027,NA,NA,NA,32291,75353,14291,NA,1101,473,15865,91218
1962-63,2992,26,NA,20249,23267,3361,4674,NA,NA,1638,NA,NA,NA,2774,10175,NA,3416,NA,NA,NA,33835,83140,15640,NA,1398,515,17553,100693
1963-64,3021,60,NA,20842,23923,3231,5220,NA,NA,1703,NA,NA,NA,2942,11569,NA,3659,NA,NA,NA,36377,88624,15954,NA,1664,599,18217,106841
1964-65,2893,63,NA,19894,22850,2884,5266,NA,NA,1893,NA,NA,NA,3335,10858,NA,3853,NA,NA,NA,37813,88752,15478,NA,1678,662,17818,106570
1965-66,3642,95,NA,22767,26504,3335,5194,NA,NA,2653,NA,NA,NA,3979,11737,1843,4480,NA,NA,NA,39254,98979,15555,NA,1813,589,17957,116936
1966-67,3714,91,NA,21194,24999,2974,6098,NA,NA,3426,NA,NA,NA,4189,13044,2371,4341,NA,NA,NA,37842,99284,15342,NA,1451,530,17323,116607
1967-68,3889,93,NA,24089,28071,2908,6076,NA,NA,3917,NA,NA,NA,4539,12546,3438,4264,NA,NA,NA,35362,101121,15911,NA,1336,492,17739,118860
1968-69,4216,113,NA,24927,29256,3356,6376,NA,NA,4695,NA,NA,NA,4965,13458,4115,4541,NA,NA,NA,37367,108129,15290,NA,1181,540,17011,125140
1969-70,4121,134,NA,26771,31026,2966,6741,NA,NA,4892,NA,NA,NA,6256,13400,3760,4958,NA,NA,NA,37827,111826,14703,NA,1181,538,16422,128248
1970-71,4133,141,NA,23563,27837,2708,6201,NA,NA,5492,NA,NA,NA,6990,14505,3808,5264,NA,NA,NA,37891,110696,15328,NA,934,400,16662,127358
1971-72,4090,145,NA,25233,29468,2634,6115,NA,NA,5319,NA,NA,NA,6946,16418,4357,5966,NA,NA,NA,39670,116893,15006,NA,986,380,16372,133265
1972-73,4415,152,NA,25452,30019,2872,6639,NA,NA,4584,NA,NA,NA,6757,18646,4355,6248,NA,NA,NA,41043,121163,14235,NA,769,364,15368,136531
1973-74,4123,152,NA,22312,26587,2675,6178,NA,NA,4275,NA,NA,NA,6368,16322,4001,6373,NA,NA,NA,36612,109391,11831,172,705,255,12963,122354
1974-75,4435,191,NA,28281,32907,3283,7172,NA,NA,5358,NA,NA,NA,6095,15172,4788,6901,NA,NA,NA,39698,121374,11789,193,735,213,12930,134304
1975-76,4643,204,NA,32807,37654,3988,7758,NA,NA,7170,NA,NA,NA,8627,15479,6158,7051,NA,NA,NA,40989,134874,11800,209,958,378,13345,148219
