Particulars, 8-2013, 9-2013, 10-2013, 11-2013, 12-2013, 1-2014, 2-2014, 3-2014, 4-2014, 5-2014
Total,67754.30,69921.80,77309.40,78804.40,86353.80,87959.00,78784.80,90888.00,80711.70,83340.90
Coal,28285.60,28680.60,31745.30,32931.80,36942.70,37739.80,33264.20,37686.00,35011.80,36012.70
Iron Ore and Steel,6744.80,7368.00,7831.30,8742.30,9145.20,8669.00,7742.20,9171.20,6847.10,7201.00
Cement,5653.20,6548.90,7360.60,6842.50,7546.30,8657.80,7793.40,9548.70,8625.70,8184.70
Foodgrains,5414.10,5744.40,6238.40,5758.80,6538.90,7793.90,7323.30,8091.70,7113.70,7651.50
"Petroleum, Oil and Lubricant",3967.70,3823.30,4698.50,4789.80,5060.20,4714.30,4299.00,4699.40,4657.70,4992.70
Pig Iron and Finished Steel,4196.20,4359.00,4912.30,4848.20,5249.00,5255.60,4947.30,6200.00,4761.40,5138.80
Fertilizers,4588.10,4184.00,4889.60,4897.50,4727.30,3783.40,3175.60,3004.00,2718.70,3558.30
Raw Material for Steel Plants,1163.10,1242.10,1405.40,1399.10,1496.20,1440.20,1232.10,1548.40,1245.30,1116.60
Container Service,3756.10,3452.40,3575.10,3279.50,3784.80,3805.70,3553.00,3906.30,3658.40,3788.80
Others,3985.40,4519.10,4652.90,5314.90,5863.20,6099.30,5454.70,7032.30,6071.90,5695.80
